Profundidad,Densidad,PEF,Zeff,Core,Seccion,Porosidad,Permeabilidad
674,-999,-999,-999,C001,T001,,
674.0020505,-999,-999,-999,C001,T001,,
674.0041011,-999,-999,-999,C001,T001,,
674.0061516,-999,-999,-999,C001,T001,,
674.0082021,-999,-999,-999,C001,T001,,
674.0102526,-999,-999,-999,C001,T001,,
674.0123032,-999,-999,-999,C001,T001,,
674.0143537,-999,-999,-999,C001,T001,,
674.0164042,2.6408944,2.0096142,12.139421,C001,T001,,
674.0184547,2.6263814,2.0336852,12.179638,C001,T001,,
674.0205053,2.6350565,1.9849116,12.097785,C001,T001,,
674.0225558,2.6238577,2.0346284,12.181207,C001,T001,,
674.0246063,2.6098709,2.0849998,12.264238,C001,T001,,
674.0266568,2.611376,2.1011205,12.290504,C001,T001,,
674.0287074,2.6200225,2.1081376,12.301893,C001,T001,,
674.0307579,2.6037476,2.1933098,12.437984,C001,T001,,
674.0328084,2.5962818,2.2387333,12.509008,C001,T001,,
674.0348589,2.6116631,2.2332127,12.500432,C001,T001,,
674.0369095,2.5841997,2.32727,12.644506,C001,T001,,
674.03896,2.5997858,2.291117,12.589635,C001,T001,,
674.0410105,2.5927382,2.3228407,12.637817,C001,T001,,
674.043061,2.5862021,2.3565254,12.68846,C001,T001,,
674.0451116,2.5760331,2.3964694,12.747841,C001,T001,,
674.0471621,2.5773127,2.4060364,12.761957,C001,T001,,
674.0492126,2.5696707,2.4308064,12.798318,C001,T001,,
674.0512631,2.5664816,2.4249568,12.789755,C001,T001,,
674.0533137,2.5584381,2.4730935,12.859778,C001,T001,,
674.0553642,2.5625811,2.4585617,12.838744,C001,T001,,
674.0574147,2.5632579,2.4676912,12.851969,C001,T001,,
674.0594652,2.5649092,2.4788854,12.868137,C001,T001,,
674.0615158,2.5578218,2.5190754,12.925754,C001,T001,,
674.0635663,2.5611782,2.5147176,12.919539,C001,T001,,
674.0656168,2.5582805,2.5362225,12.950134,C001,T001,,
674.0676673,2.5589094,2.5410616,12.956993,C001,T001,,
674.0697179,2.5578914,2.5378366,12.952423,C001,T001,,
674.0717684,2.5555506,2.540803,12.956627,C001,T001,,
674.0738189,2.5487669,2.589395,13.024987,C001,T001,,
674.0758694,2.5516117,2.5798695,13.01166,C001,T001,,
674.07792,2.5534029,2.5801573,13.012063,C001,T001,,
